character,nationality
Big Lunk,USA
Connie,USA
J. Sinister Hulk,USA
Eric von Zipper,USA
Tashi,India
Nitin,India
Arup,India
Sonia,India
Vladimir Dragunsky,Russia
Somayajulu,India
Menaka,India
Rajeev,India
Lisa,Austrian
Stefan Brand,Austrian
Lisa's Mother,Austrian
Johann,Austrian
Velayudhan,India
Valiya Nambiar,India
Member Kurupu,India
Robert,USA
Sergeant,USA
George,UK
Mariana/Sylvia,USA
Santiago,USA
Maria,USA
Carlos,Mexico
Laura,USA
Department of Defense Official,USA
Rıfat,Turkey
Hejar,Kurdish
Newspaperwoman,USA
Inca Tribe Leader,Peru
The Young Man (Daniel Lloyd),UK
Cobb,Unknown
The Blonde,Unknown
Bald Guy,Unknown
Texas,USA
Bill Kilgallen,USA
Tim Callahan,USA
Joe Cadden,USA
Mayukh,India
Aishwariya,India
Riya,India
Eddie Campbell,USA
Ben Cutler,USA
Ruth Granger,USA
Laurie Cutler,USA
Sheriff,USA
Selby,USA
Paul Matthews,USA
Diane Farrow,USA
Madame Ruth,fictional
Marisa,fictional
Gary,fictional
Jeffrey Wilder,USA
Eric,USA
John Anderson,USA
Karen McCorder,USA
Mohan,India
Pradeep,India
Ranjeet,India
Geeta,India
Rekha,India
Kalpana,India
The Mysterious Personage,Europe
René,France
Jasper Bloodshy,USA
Wild Billy,USA
Eli,USA
Mansfield,England
Ragsdale,USA
The Denver Kid,USA
Roxanne,USA
Marcus,USA
Jenny,USA
Darryl Witherspoon,USA
Scott Thorpe,USA
Tim LaFlour,USA
Mr. Tyson,USA
Dr. Thomas Wheedon,USA
Kumar Sen,India
Asha,India
Rajesh,India
Ashok Verma,India
The Milldues,USA
Ivan Molotov,Russia
Caldwell,USA
Weeks,USA
Hyun-soo,South Korea
Jong-hoon,South Korea
Hamburger,South Korea
Dharamchand (Dharma),India
Radha,India
Raju,India
Ajit,India
Sujit,India
Laxmi,India
Geeta Verma,Britain
Keith Williams,USA
Yankees Group,USA
Indians Group,USA
Countess Federica,Italy
Filippo Donati,Italy
Frank Ventura,Italy
Laura,Italy
Simon,Italy
Renata,Italy
Albert,Italy
Paolo Fassati,Italy
Anna Fassati,Italy
Steve Gallagher,USA
Mulligan,USA
O'Brien,USA
Sam,USA
Allie,USA
Santa Claus,North Pole
Mrs. Claus,North Pole
Crumpet,North Pole
Sparky,North Pole
Edwin Hadley,USA
Mr. Martino,USA
Bill Whitney,USA
Blanchard,USA
Dr. Cleveland,USA
Jenny,USA
Milo,USA
Ferguson,USA
Clarissa,USA
Ponyboy Curtis,USA
Soda Curtis,USA
Darry Curtis,USA
Johnny Cade,USA
Dally Winston,USA
Two-Bit Matthews,USA
Steve Randle,USA
Bob Sheldon,USA
Randy Adderson,USA
Henry 'Hank' Dowling,USA
Alice 'Bingo' Dowling,USA
Ben Murchison,USA
Howard Presley,USA
Andy McAllister,USA
Marjory,USA
Mickey,USA
Asia,USA
Billie,USA
Pauline,USA
Curly,USA
Drew,USA
Cletus,USA
Max Renn,Canadian
Nicki Brand,Canadian
Harlan,American
Professor Brian O'Blivion,American
Masha,Canadian
Barry Convex,Canadian
Bianca O'Blivion,Canadian
Capt. Christopher Jones,USA
Dorothy Bradford,USA
William Bradford,USA
John Alden,USA
Priscilla Mullins,USA
Miles Standish,USA
Coppin,USA
William Button,USA
Sandeep 'Sandy',India
Deepthi,India
Diwakar,India
Jeremiah Kincaid,USA
Granny,USA
Uncle Hiram,USA
Lakota Sioux,Lakota Sioux
Jewish Couple,USA
Ravi Varma,India
Chandru,India
Leela,India
Cheryl,USA
Tamara,USA
Yvette,USA
Diana,USA
Charlotte,England
Branwell,England
Emily,England
Anne,England
Mr. Nicholls,England
Tom,unknown
Vic,unknown
Jess,unknown
Sun-hwa,South Korea
Silent Man (Han-gi),South Korea
Boyfriend,South Korea
Madam,South Korea
Loan Shark,South Korea
Pimp Enforcer,South Korea
Hero Hwa,Taiwan
Chiang Ho-Chie,Taiwan
Benjie,Philippines
Benjamin Santos VII,Philippines
Brandon Estolas,Philippines
Abe Sayyep,Philippines
Richard Rollison,England
Susan Lancaster,England
Inspector Grice,England
The Hammer,England
Ganesh,India
Bhuvana,India
Gus,USA
Porter,USA
Nash,USA
German Officer,Germany
British soldier,UK
Village woman,Germany
Kong,China
Ma,China
Tin,China
Dr. John Rollason,UK
Helen,UK
Peter Fox,UK
Dr. Tom Friend,UK
Ed Shelley,USA
Sherpa guide Kusang,Tibetan
photographer Andrew McNee,UK
O'Grady,Ireland
Fannie Brand,USA
Joe Halsey,USA
Landau,USA
Villagers,Unknown
Nazis,Germany
Robert Miller,USA
Detective,USA
Miller's Daughter,USA
Dean Seagrave,USA
Pablo,Argentina
Mother,Argentina
Marcos,Argentina
Sofia,Argentina
Sam Field,USA
Dave Hebert,USA
Zoey Russell,USA
Kathleen Russell,USA
Jerry Russell,USA
Javier Del Campo,Mexico
Florence Fallon,USA
Bob Hornsby,USA
John Carson,USA
Django,Unknown
María,Unknown
Major Jackson,Unknown
Hugo Rodriguez,Mexico
Isabel,unknown
Rescuing couple,unknown
Anne Traymore,USA
Manuel del Rio Montoya,Spain
Rene LeClerc,France
Balfour,unknown
Williams,unknown
Axel Freed,USA
Billie,USA
Naomi,USA
Grandfather,USA
Hips,USA
DCI Bernie Reid,UK
Anna,unknown
Billie Jean Davy,USA
Binx,USA
Hubie Pyatt,USA
Putter,USA
Ophelia,USA
Detective Ringwald,USA
Mr. Pyatt,USA
Nick Miller,USA
Lisa Hansen,USA
Matthew Paul,USA
J.K. Robertson,USA
Rita Mancuso,Italy
Don Michele,Italy
Anti-Mafia Prosecutor,Italy
Albert Constantin,Not Applicable
Émile,Not Applicable
Éva,Not Applicable
Monsieur Raphaël,Not Applicable
Sylvia Suffolk,UK
Tony Clyde,UK
René Gaudin,France
Harry Caine / Mateo Blanco,Spain
Judit,Spain
Diego,Spain
Dr. Huntington Bailey,USA
Nick,USA
Allida,USA
Mary,UK
Joe,UK
Greville White,UK
Captain Karl Ehrlich,Germany
Commander Jeff Napier,UK
Elsa Keller,Germany
German Consul-General,Germany
First Officer Kirchner,Germany
Shaam,India
Sneha,India
Jaya,India
Rajiv Krishna,India
Woody,France
Princess Salami,France
Sheik el Rancid,unknown
Park Gang-du,South Korea
Park Hee-bong,South Korea
Nam-joo,South Korea
Nam-il,South Korea
Hyun-seo,South Korea
Dr. Matthew Roney,UK
Professor Bernard Quatermass,UK
Colonel Breen,UK
Barbara Judd,UK
Sladden,UK
Bilbo,The Shire
Frodo,The Shire
Gandalf,Unknown
Aragorn,Gondor
Boromir,Gondor
Legolas,Elf
Gimli,Dwarf
Sam,The Shire
Gollum,Unknown
Saruman,Unknown
Théoden,Rohan
Chic,Australia
Joe,Australia
Porky Pig,USA
Daffy Duck,USA
Rover,USA
Joe Penner,USA
Long Island suburbanites,USA
Bronx inner-city youth,USA
Hare Krishna devotees,USA
Tien Lung,China
Chao,China
Hang Tui,China
Matty Demaret,unknown
Chris,unknown
Johnny Marbles,unknown
Benny 'Chains' Demaret,unknown
Teddy,unknown
Taylor,unknown
Sheriff,unknown
Deputy,unknown
Drew Carson,USA
Master San De,China
Gao,China
Trevor Gottitall,USA
Bonny Kane,USA
'Skid' Johnson,USA
Ezra,Sierra Leone
Ezra's Sister,Sierra Leone
Rosa Moline,USA
Chicago Businessman,USA
Doctor,USA
Dax,South America
Xenos,South America
Kristi,unknown
Kei,unknown
Tony,unknown
Jack Ming,unknown
Philo,unknown
Amy,unknown
Lobo,unknown
Ayaka,Japan
Kenji,Japan
Kyōko,Japan
Ajileo Barajas,Mexico
Border Patrol,USA
Daughters,Portugal
Parents,Portugal
Grandmother,Portugal
Maid,Portugal
Salazar,Portugal
Roland Cassard,France
Lola,France
Michel,France
Frankie,USA
Cécile,France
Murdoch Troon,Scottish
Commander Chingford,British
Claire,British
Freddie Fox,British
Colin Briggs,England
Fergus,England
Georgina Woodhouse,England
Primrose Woodhouse,England
Aldo,Italy
Captain Turner,USA
Captain Von Hecht,Germany
Little White Man,Switzerland
Loyal Dog,Switzerland
Djibril Cissé,France
Amélie Mauresmo,France
Unni,India
Dasan,India
Bhaskaran,India
Boss,India
Larry Wilson,USA
Richard Parker,USA
Bernie Lomax,USA
Claudia,U.S. Virgin Islands
Nocturna,Transylvania
Count Dracula,Transylvania
Jimmy,USA
Jugulia Vein,Transylvania
Chrysty,USA
McGill,USA
Henry Butler,USA
Effie Butler,USA
Grace Norman,USA
Gilbert Wayne,USA
Nan,USA
Jane,USA
Bob Grant,USA
Hristo (Itso),Bulgaria
Georgi,Bulgaria
Niki,Bulgaria
Işıl,Turkey
Stoker Thompson,USA
Tiny,USA
Tiger Nelson,USA
Little Boy,USA
Fred Miller,USA
Vivian Miller,USA
Nate Ashbury,USA
Rival Designer,USA
Alan,USA
Brando,Italy
Colburn,USA
Alano,Mexico
Albany,USA
Elmo Bunn,USA
Aghor Sen,Nischintipur
Bhootnath Nondy,Nischintipur
Vik,Nyapcha
Kartik,Nischintipur
Subuddhi,Nischintipur
Frank Morris,USA
John Anglin,USA
Clarence Anglin,USA
Charlie Butts,USA
Doc,USA
Wolf,USA
English,USA
Malik,Greenland
Nivi,Greenland
Malik,Yugoslavia
Meša,Yugoslavia
Sena,Yugoslavia
Maša,Russia
Dr. Orloff,UK
Dr. Dearborn,UK
Chet Chester,USA
Sally,USA
Dona Williams,USA
SpongeBob,none
Patrick,none
Squidward,none
Mr. Krabs,none
Sandy,none
Plankton,none
Lord Royal Highness,none
Patchy the Pirate,USA
American Man,USA
Sarah Huttinger,USA
Jeff Daly,USA
Beau Burroughs,USA
Jocelyn,USA
Katharine,USA
Annie,USA
Scott,USA
Earl,USA
Blake,USA
Sunder Srivastava,India
Prem,India
Amar Kumar alias Marco,India
Kunta,India
Savitri Kaul,India
Mala,India
Mida King,USA
David V. Henderson,USA
Connie Furness,USA
Inspector Gunther,USA
Rocky Custer,USA
Paul Rinehart,USA
Frankie Ciro,USA
Pearl Delroy,USA
Baby,USA
Roger Furness,USA
Gena,Russia
Annie,USA
Hottabych,Unknown
Shaitanych,Unknown
Major Gresham,UK
2nd Lt. Croft,UK
Mio,Japan
Nitta,Japan
Lolo Melo,Philippines
Jobert,USA
Emong,Philippines
Naguchi,Japan
Dr. Moras,unknown
Barber's Assistant,unknown
Faber,unknown
Ebinger,unknown
Joe,USA
Holly,USA
Ben,unknown
Girlfriend,unknown
Film Crew,unknown
Chuck Regan,USA
Anita de la Vega,Mexico
Manolo Estrada,Mexico
Natasha Goberman,Russian
Kristi Yamaguchi,USA
Alexandre,France
Marie,France
Veronika,Poland
Mitch MacAfee,USA
Sally Caldwell,USA
Gen. Considine,USA
Gen. Van Buskirk,USA
Peter,Russia
Grandfather,Russia
James Caan,USA
Lukas Haas,USA
Lisa Bonet,USA
Therald Stone,unknown
David Nidd,unknown
Selma Davis,unknown
Len Parker,unknown
Helen Hannah,unknown
Cindy,unknown
Willie Spino,unknown
Franco Macalousso,unknown
Ron Spalding,unknown
Willy,unknown
Sissy,unknown
Tonya,unknown
Sparrow Guardian,unknown
Red,unknown
TJ,unknown
Cipur,unknown
Blackie,unknown
Amy,unknown
Daniel Greer,Canada
Bernard Coudray,France
Mathilde Bauchard,France
Philippe Bauchard,France
Şahin K.,Germany
Şahin K.'s Son,Germany
Adrian Sinbad,unknown
Gemma,unknown
Whitaker,unknown
Mehrak,Somalia
Atash,unknown
Loa,unknown
Simon,unknown
Elmec Ishu,unknown
Jo Chang-shik,South Korea
Jeong Min-hwan,South Korea
Min-hwan's Father,South Korea
County Sheriff,USA
Government Agency,USA
General Muster,USA
Brothers,USA
Dastan,Persian Empire
Tus,Persian Empire
Garsiv,Persian Empire
Nizam,Persian Empire
Sir Michael Carr,UK
Tansy Carr,UK
General Henry Barclay,UK
Thomas Barclay,UK
Cornelius Allingham,USA
Padmé Amidala,Naboo
Anakin Skywalker,Tatooine
Supreme Chancellor Palpatine,Naboo
Shmi,Tatooine
Darth Sidious,Coruscant
Tretchikoff,South Africa
Lenka,Czech Republic
Nigeria,USA
Mr. Cohen,USA
Bartek Wilkosz,Poland
Leta Evans,USA
Bleau Kelly,USA
Poppa,USA
Jack Weber,USA
Lieutenant Sean Lambert,USA
Ousseini,Niger
Irwin,expat
Anny,expat
Shambu,India
Shanti,India
Kishan,India
Tulsi,India
James Bond,UK
Sir Fredrick Gray,UK
Bill Tanner,UK
General Gogol,Soviet Union
Hector Gonzales,Cuba
Melina Havelock,UK
Emile Leopold Locque,Unknown
Aris Kristatos,Greece
Milos Columbo,Greece
Countess Lisl von Schlaf,Unknown
Bibi Dahl,Unknown
Q,UK
Luigi Ferrara,Italy
Apostis,Unknown
Eric Kriegler,East Germany
Archibald Asparagus,unknown
Phillipe and Jean-Claude: The French Peas,French
Jimmy Gourd,unknown
Ophelia,unknown
Larry,unknown
Junior Asparagus,unknown
Sven and Otar,unknown
Olaf,unknown
Apollo Gourd,unknown
Mong Fu,Thailand
Pim,Thailand
Sister Mioko,Thailand
Champion,Thailand
Frank Spivey,USA
Ruby,USA
Amy,USA
Tank,USA
Johnny,USA
Laurie,USA
Daisy,USA
Pink Panther,N/A
The Mouse,N/A
The White Man,N/A
Jack,unknown
Stephanie,unknown
Leslie,unknown
Randy,unknown
Betty,unknown
Pete,unknown
Stewart,unknown
Susan,unknown
Officer Lawdale,unknown
Peoples War Group,India
Government Forces,India
M. G. R,India
Manjula,India
Padmini,India
The Riddler,unknown
Batman,USA
Commissioner Gordon,USA
Vivian Bell,English
Cay Rivvers,USA
Frances Parker,USA
Darrell,USA
Donnie Darko,USA
Frank,unknown
Elizabeth,USA
Gretchen Ross,unknown
Dr. Thurman,USA
Kitty Farmer,USA
Karen Pomeroy,USA
Jim Cunningham,USA
Dr. Monnitoff,USA
Roberta Sparrow,USA
Frank (Elizabeth's boyfriend),unknown
Samantha,USA
Dr. Sun,China
Chen Cuifen,China
Luo Zhaoling,China
Xu Dan Rong,China
Xu Boheng,China
Mr. Grant,British
Venizelos,Greece
Sia Malhotra,Thailand
Ria Malhotra,Thailand
Raj Oberoi,Thailand
Khosro Paziresh,Iran
Darioosh Jam,Iran
Tongpan,Thailand
Tongpan's Wife,Thailand
University Students,Thailand
Government Officials,Thailand
Foreign Experts,Various
Tom Jeffers,USA
Gerry Jeffers,USA
John D. Hackensacker III,USA
Princess Centimillia,USA
Joe Scheffer,USA
Mark McKinney,USA
Meg Harper,USA
Natalie,USA
Chuck Scarett,USA
Jeremy,USA
Chand,India
Tara,India
Rajni,India
Detective Jo,South Korea
Detective Kang,South Korea
Pretty Woman,South Korea
Dr. Rex Martin,USA
Jim Reston,USA
John Halsey,USA
Keong,Singapore
Ong,Singapore
Hui,Singapore
Al Collins,USA
Lata,India
Shekhar,India
Vasant Kumar (Ashok),India
Nancy Archer,USA
Harry,USA
Dr. Cushing,USA
Sheriff,USA
Nurse Cornish,Australia
Joseph,Argentina
Madame Rosa,France
Momo,Algeria
Jagannathan (Jaggubhai),India
Ilavarasi,Australia
Monisha,Australia
Kaaliyappan (MIB),India
Marina Oswald,Soviet Union
Lee Harvey Oswald,USA
Crysta,FernGully
Magi Lune,FernGully
Batty Koda,FernGully
Zak,Human
Hexxus,Spirit
Ludvik,Czech Republic
Anna,Czech Republic
Eli,USA
Rodger,USA
Shelby,USA
The Boy,USA
The Girl,France
The Little Disturber,France
Von Strohm,Germany
Joshua Mason,Unknown
Everly,Unknown
Ethan Jenkins,USA
Jake Sanders,USA
Chow Ti,Unknown
Dicky,Unknown
Ms. Yuen,Unknown
CJ7 (Alien),Unknown
Ariane Chavasse,French
Claude Chavasse,French
Frank Flannagan,USA
John Reed,USA
Louise Bryant,USA
Eugene O'Neill,USA
Grigory Zinoviev,Russia
Bolsheviks,Russia
Ali G,UK
Deputy Prime Minister David Carlton,UK
Kate Hedges,UK
Borat Sagdiyev,Kazakhstan
Sinbad,Unknown
Habeeb,Unknown
Captain Aziz,Unknown
King Jamaal,Unknown
Nefia,Unknown
Frank Taylor,USA
Ed Jackson,USA
Cliff,USA
Thee,Thailand
Parn,Thailand
Nan,Thailand
Nat,Thailand
Somkiat,Thailand
Mike,USA
Bobby,USA
Mary,USA
Jack 'The King',USA
Lincoln Costain,USA
Henrietta MacAvoy,USA
Calvin Bryson,USA
Sam Dalmas,USA
Giulia,Italy
Monica Ranieri,Italy
Jan,Denmark
Mrs. A,USA
Gil,USA
Mikko Syvärivi,Finland
Antti Vasa,Finland
Kenneth Magee,Unknown
Lord Grisbane,Unknown
Victoria,Unknown
Lionel,Unknown
Sebastian,Unknown
Mary Norton,Unknown
Corrigan/Roderick,Unknown
Diane,Unknown
Andrew,Unknown
Mr. Reeder,UK
Welford,UK
Colonel Pete Moore,USA
Digger Control,USA
Flight 412 Crew,USA
David Ortega,not provided
Anna,not provided
R.C. Horn,USA
Billy Rowles,USA
Ku Klux Klan Members,USA
Black Panthers Members,USA
Cristian,unknown
July,unknown
José,unknown
Mother,unknown
Melinda,unknown
Elvira,unknown
Siddhart,India
Sameer,India
Rahul Dev,India
Nupur,India
Anjana,India
Surbhi,India
Quido,Czechoslovakia
Mother,Czechoslovakia
Father,Czechoslovakia
Michael Walsh,USA
Magenta,USA
Hiroki Fujisawa,Japan
Takuya Shirakawa,Japan
Sayuri Sawatari,Japan
Kana Matsuura,Japan
Ekusun Tsukinoe,Japan
Maki Kasahara,Japan
Professor Tomizawa,Japan
Mr. Okabe,Japan
John Wilson,USA
Pete Verrill,USA
Kivu,Africa
Bruce Lee 1,Hong Kong
Bruce Lee 2,Hong Kong
Bruce Lee 3,Hong Kong
Professor Lucas,Unknown
Chuck,Thailand
Bolo Yeung,Hong Kong
Chiang Tao,Hong Kong
Dr. Ngai,Unknown
Harry,unknown
Flint,unknown
Anthony Fait,USA
Agent Su,Taiwan
Miles,USA
Vanessa,USA
Phoebe Ann Naylor,USA
Don Andrea Baldazar,fictional
Yancey Cottle,USA
Captain Rodney Stimpson,USA
Sam Hollis,USA
Kronk,fictional
Loneta,fictional
Cooper,USA
Ross,USA
Widow,South Korea
Strong Man,South Korea
Albert Sanger,Austria
Tessa,Austria
Antonia,Austria
Pauline,Austria
Linda,Austria
Florence,UK
Navajo Woman,Navajo
Watuma,Navajo
Jai,India
Naina,India
Govind,India
Sheila,India
Ritu,India
Arjun,India
Gayatri,India
Dhruv,India
Radhika,India
Frank Martin,French
Audrey Billings,USA
Jefferson Billings,USA
Jack Billings,USA
Inspector Tarconi,French
Sergeant Nash Crawford,USA
Gentleman George Asque,USA
The Baltimore Kid,USA
Amos Polk,USA
Jason Fitch,USA
Louise Murphy,USA
Sam Braham,USA
Wyatt Earp,USA
Francis Ashby,England
Caroline Hartley,USA
Elinor,USA
Oliver Syme,England
Roger Sartet,France
Vittorio,Italy
Aldo,Italy
Sergio,Italy
Luigi,Italy
Electrician,France
Jeanne,France
Tony Nicosia,USA
Jack,USA
Commissaire Le Goff,France
Edward Evans,USA
Monique,France
Prince Charles,European Principality
Mrs. Toquet,unknown
Kovin,European Principality
Widow Sonder,European Principality
Nazim Tahiri,Albania
Prenk Shehu,Albania
Vincke,Belgium
North Korean Man,North Korea
Middle Eastern Man,Middle East
George W. Bush,USA
Pippi Longstocking,Swedish
Tommy,Swedish
Annika,Swedish
Miss Prysselius,Swedish
Kling,Swedish
Klang,Swedish
Erast Fandorin,Russian Empire
Jason Bourne,USA
Marie Kreutz,Swiss
Alexander Conklin,USA
Nicky Parsons,USA
Ward Abbot,USA
Nykwana Wombosi,African
Charlie Thorpe,Not Specified
Bank Owner,Not Specified
British soldiers,UK
US Air Force officer,USA
Germán Areta,Spain
Francisco Medina,Spain
Isabel Medina,Spain
Carmen,Spain
Young Girl,England
Father,England
Fong Sai-yuk,China
Ting-ting,China
Tiger Lui,China
Siu-wan,China
Miu Chui-fa,China
Fong Tak,China
Chan Ka-lok,China
Governor of Nine Gates,China
Buzz Lightyear,Star Command
Warp Darkmatter,Star Command
Princess Mira Nova,Star Command
Commander Nebula,Star Command
Booster,Star Command
XR,Star Command
Evil Emperor Zurg,Unknown
Agent Z,Unknown
William S. Burroughs,USA
Tome,Japan
Stepfather,Japan
Nana,France
Raoul,France
Captain Joe Sarcone,USA
Mariama,unknown
Bilaly,unknown
Samba,unknown
Emma Küsters,Germany
Hermann Küsters,Germany
Ernst,Germany
Helene,Germany
Karl Thälmann,Germany
Marianne Thälmann,Germany
Corinna,Germany
Niemeyer,Germany
Horst Knab,Germany
Lieutenant Commander John Twillinger,USA
Mitsuo Wada,Japan
Ayako,Japan
Mr. T,USA
New Edition,USA
Misha,Russia
Nadia,Russia
Roseanna,Polynesia
Rick Kane,USA
Alex,USA
Mark,USA
Lance Burkhart,USA
Turtle,USA
Kiani,Hawaii
Chandler,USA
Yggdrasil,Digital World
Dorumon,Digital World
Leomon,Digital World
WarGreymon X,Digital World
Tokomon X,Digital World
Omnimon,Digital World
MetalGarurumon X,Digital World
Gallantmon,Digital World
Magnamon,Digital World
Dorugamon,Digital World
Dorugreymon,Digital World
Alphamon,Digital World
DexDorugoramon,Digital World
Dexmon,Digital World
Daniel,Germany
Juli,Germany
Melek,Turkey
Wade Whitehouse,USA
Jill,USA
Glen Whitehouse,USA
Jack,USA
Margie Fogg,USA
Rolfe Whitehouse,USA
Gordon Lariviere,USA
Fiona,Australia
Ben,Australia
Scarlett,Australia
Lakshmi,India
Valerie Solanas,USA
Andy Warhol,USA
Maurice Girodias,France
Major Ranvir Kaul,India
Gaurav,India
Khan,Pakistan
German Settlers,Germany
Aunt Sybil,USA
Uncle John,USA
Ellie Parker,Australia
Sam,USA
Vacuous Musician Boyfriend,USA
Cinematographer Guy,USA
Chevy Chase,USA
The Lady,USA
Margaret Carey,USA
Nancy,USA
Osh Popham,USA
Cousin Julia,USA
Peter,USA
Gilly,USA
Mariah,USA
Charles Bryant,USA
Lally Joy,USA
Quentin,unknown
Ruby,unknown
Vogel,unknown
Vogel's former wife,unknown
Dev Sharma,India
Aarti,India
Imran Khan,India
Prachi,India
Laxminarayan 1,India
Kanta,India
Chota Khujli,India
Meena Khujli,India
Laxminarayan 2,India
D'Mello Yadav,India
Laxminarayan 3,India
Sonu,India
Jiya,India
Lucy,USA
Desi Arnaz,USA
Carole Lombard,USA
Red Skelton,USA
Buster Keaton,USA
Missak Manouchian,Armenia
Bugs Bunny,USA
Mr. Quincy Magoo,USA
Austin Cloquet,unknown
Ortega 'The Piranha' Peru,unknown
Stupak,USA
Anders,USA
Mukundan K. Kartha,India
Viswanath,India
Sumithra,India
C.P. Menon,India
Andrew Luster,USA
Connie,USA
Duane 'Dog' Chapman,USA
Jesus Christ,Israel
Lava,India
Kusa,India
Rama,India
Sita,India
Nirmala Rati Agnihotri,India
Ravi's Father,India
Major Sundarajan,India
Ben Kalmen,USA
Susan,USA
Jordan Karsch,USA
Allyson,USA
Nancy Kalmen,USA
Jimmy Marino,USA
Daniel,USA
Maureen,USA
Ex-police officer,USA
Buckaroo Banzai,USA
Penny Priddy,USA
Ani,India
Hari/Harinder Singh,India
Ashwathi,India
Suseelan,India
Count László de Almásy,Hungarian
Hana,French-Canadian
David Caravaggio,Canadian
Katharine Clifton,British
Geoffrey Clifton,British
Kip,Indian
Timofyev,Russia
Simon Templar (The Saint),unknown
Ivan Tretiak,Russia
Ilya Tretiak,Russia
Emma Russell,USA
Inspector Teal,UK
Inspector Rabineau,UK
Dr. Lev Botkin,unknown
Cruella de Vil,UK
Lars,Germany
Horace and Jasper Badun,UK
Claire Holloway,USA
Noah Pitney,USA
Geoffry Hunt,USA
Larry Coe,USA
Eve,USA
Roger Altar,USA
Maggie Gault,USA
Felix Anders,USA
Terry,Canada
Dean,Canada
Tron,Canada
Trish,Canada
Ga-mi,South Korea
Gil-son,South Korea
Monk,South Korea
Bharath,India
Gummadi (Bharath's father),India
Rajnikanth,India
Vijayasanthi,India
Shoban Babu,India
Sarat Babu,India
Rao Gopalrao,India
Radhika,India
Nathan Harper,USA
Kevin,USA
Mara,USA
Dr. Geraldine Bennett,USA
Karen Murphy,USA
Frank Burton,USA
Martin,USA
Nikola Kozlow,Serbia
October,USA
Winter's February,USA
Tommy McCoy,unknown
Dude Markey,unknown
Nita,unknown
Sir Robert Beaumont,UK
John Henry Patterson,UK
Angus Starling,UK
Samuel,Kenya
David Hawthorne,UK
Mahina,Kenya
Charles Remington,UK
Abdullah,Kenya
Jean Leonnec,France
Bo-Bo,France
Bangja,Fictional
Lee Mong-ryong,Fictional
Chunhyang,Fictional
Mr. Ma,Fictional
Santiago Muñez,Mexico
Glen Foy,England
Gavin Harris,England
Mirzo,Russia
Kova,Russia
Sultan Mazar,Central Asia
Zaranghis,Central Asia
Saifulla,Central Asia
Fattobeck,Central Asia
Ignat,Russia
Maxim,Russia
Stepan,Russia
Vasily,Russia
Verka,Russia
Chow Tien,China
Ko,China
Russian General Tolstoy,Russia
Frank Wyler,unknown
Iris,unknown
Jogger,unknown
Elena,unknown
Dian Fossey,USA
Robert M Campbell,USA
Nelson Crowe,USA
Vic Grimes,USA
Margaret Wells,USA
Tod Sapp,USA
Justin Beach,USA
Les Goodwin,USA
William Smithfield,USA
Julie Ames,USA
Ilva,France
Nazi Officer,Germany
American GI (white),USA
American GI (black),USA
Pepi,Spain
Bom,Spain
Luci,Spain
Policeman,Spain
Charo,Spain
Unniyarcha,India
Aromal Chekavar,India
Chandu Chekavar,India
Olly Pickering,UK
Murray,UK
James,UK
Dana,UK
Becka,UK
Sarah,UK
Carlos,Mexico
Camila,Mexico
Lucy,Mexico
Monica,Mexico
Krishna Warrier,India
Rajan,India
Saraswathy,India
Dhananjay Mane,India
Madhuri,India
Vishwas Sarpotdar,India
Shantanu,India
Parshuram,India
Sudhir,India
Lilabai Kalbhor,India
Tanu,India
Bali,India
Manisha,India
Sushma,India
Max Poulton,England
Gina Bertini,Italy
Carol Poulton,England
Inspector Carliss,England
Inspector Simon,France
Winnie the Pooh,unknown
Piglet,unknown
Tigger,unknown
Rabbit,unknown
Eeyore,unknown
Heffridge Trumpler Brompet Heffalump IV,unknown
Kanga,unknown
Lumpy,unknown
Christopher Robin,unknown
Aditya Shrivastav,deserted army officer
Anuj,deserted army officer
ACP Yashwant Thakur,deserted army officer
Ramona,deserted army officer
Payal,deserted army officer
Group of Itinerant Actors,Japan
Tweety,unknown
Sylvester,unknown
Conductor,unknown
Bulldog (Hector),unknown
Masao,Japan
Alta,Karistan
Jewel,Karistan
Jim Martin,USA
Sidney Preston,USA
Caroline,USA
Lisa,USA
East Indian Cabdriver,India
Hank,fictional
Larry,fictional
Lotus Flower,Chinese
Allen Carver,American
Dr. Vaseekaran,India
Chitti,India
Dr. Bohra,India
Sana,India
Farmers,USA
Small Business Owners,USA
Workers,USA
Anti-fracking Activists,USA
Housing Developers,USA
Howard,Duckworld
Beverly,USA
Phil Blumburtt,USA
Dr. Walter Jenning,USA
Pari,Iran
Brother,Iran
Mina,Singapore
Rohit,Singapore
Rony,Singapore
Chumki,Singapore
Sabitri Devi,Singapore
Pratap Narayan,Singapore
Rina,Singapore
Erik,Finnish
Repo man,unknown
Mickey,USA
Pluto,USA
Pelican,USA
Fred,USA
Velma,USA
Daphne,USA
Shaggy,USA
Alejo Otero,Mexico
Sofia Otero,Mexico
Doña Dolores Otero,Mexico
Luis Otero,Mexico
Charlene,USA
El Chupacabra (Charlene),USA
El Curandero,Mexico
Mr. Smiley,USA
Señor Fuente,Mexico
Jennifer,USA
Batz,USA
Mother,USA
Big Sister,USA
Hikari,Japan
Lee Duncan,USA
Cody,Australia
Marahute,Australia
Percival C. McLeach,Australia
Bernard,USA
Miss Bianca,USA
Jake,Australia
Joanna,Australia
François,France
Catherine,France
Bruno,France
Dirk,USA
Kelli,USA
